epoch,acc,loss,val_acc,val_loss
0,0.768760000038,0.462964324131,0.846480000076,0.356639418135
1,0.902640000095,0.24995566864,0.845280000134,0.36275202034
2,0.932839999981,0.185488015885,0.836800000076,0.445605409107
3,0.949520000057,0.144014970031,0.830640000095,0.448224715405
4,0.9618,0.111358781047,0.827840000076,0.539624962215
5,0.973960000019,0.0784198163557,0.822680000134,0.598741931591
6,0.979680000038,0.0635552364969,0.816360000095,0.694382961912
7,0.984439999924,0.0488221731496,0.815480000019,0.675069455528
8,0.9842,0.0476386899906,0.811040000076,0.994487482738
9,0.98932,0.0345057139862,0.804720000019,1.01766805351
10,0.988479999943,0.0346820174015,0.810720000057,0.987077836685
11,0.99376,0.0214144643012,0.810360000095,1.07354532295
12,0.9902,0.0295683875951,0.811320000019,1.01960182316
13,0.99252,0.0247833880228,0.809960000019,1.08133008486
14,0.99028,0.0291905170591,0.803880000019,1.20971558762
15,0.99416,0.0193280191717,0.808760000076,1.06260985788
16,0.99712,0.0111655813074,0.807760000019,1.19976203238
17,0.99132,0.0255291675228,0.809320000134,1.19572290125
18,0.99,0.0282931809117,0.809880000076,0.970465401077
19,0.99496,0.0171458281314,0.809520000057,1.16445374699
20,0.99672,0.0114687572017,0.805440000057,1.37513310863
21,0.99904,0.00431049435358,0.809680000076,1.31764201666
22,0.99992,0.00083140895945,0.811320000095,1.50363514935
23,1.0,0.000304063410327,0.810840000134,1.55623837517
24,1.0,0.000197910804339,0.810400000134,1.58554871401
25,1.0,0.000145492402208,0.809560000076,1.65685355659
26,1.0,0.000111438407049,0.810120000134,1.69610758942
27,1.0,8.81487516826e-05,0.809520000134,1.73345523735
28,1.0,7.11902578629e-05,0.809400000134,1.76357233879
29,1.0,5.92877673364e-05,0.809680000134,1.78311708626
30,1.0,4.94547210494e-05,0.809280000134,1.78839142029
31,1.0,4.17494847067e-05,0.809320000134,1.83755214134
32,1.0,3.60708796722e-05,0.808880000134,1.83858827034
33,1.0,3.05861173536e-05,0.809240000019,1.8725188414
34,1.0,2.61335164637e-05,0.808760000076,1.87401273495
35,1.0,2.27313493739e-05,0.808640000019,1.91694101997
36,1.0,1.97976909921e-05,0.808760000134,1.92778304138
37,1.0,1.73070516148e-05,0.808480000019,1.95033398014
38,1.0,1.5052108579e-05,0.808600000076,1.94446358017
39,1.0,1.31921777443e-05,0.808280000019,1.97950136387
40,1.0,1.16530967131e-05,0.808640000134,1.98637535187
