epoch,acc,loss,val_acc,val_loss
0,0.126016666683,2.29655075404,0.1515,2.28874973221
1,0.182083333349,2.27889652507,0.2246,2.26492137337
2,0.239766666698,2.23646586749,0.2737,2.1874713131
3,0.316733333381,2.00296518504,0.3907,1.77832207642
4,0.510250000095,1.44761380564,0.5885,1.19997426643
5,0.633900000095,1.05646650896,0.6859,0.924723182869
6,0.690916666667,0.88716518364,0.703,0.838862303925
7,0.724333333397,0.798959923267,0.7622,0.730051827908
8,0.755316666698,0.726522195721,0.798,0.643632135344
9,0.793933333333,0.640299852626,0.8186,0.584573555136
10,0.829483333365,0.548619531536,0.8639,0.460693975925
11,0.85981666673,0.46511595726,0.874,0.4188156147
12,0.881766666698,0.402134585746,0.8853,0.376521755171
13,0.89511666673,0.356376559893,0.9104,0.309480464888
14,0.908333333397,0.31566386315,0.92,0.279813409281
15,0.917933333365,0.283543407973,0.9271,0.260209817553
16,0.926600000064,0.258134114114,0.931,0.243843482828
17,0.93303333346,0.233857624555,0.9272,0.256490845847
18,0.937783333397,0.217876373498,0.9357,0.221591491318
19,0.943200000032,0.198062957597,0.9343,0.22798368001
20,0.94661666673,0.186764309144,0.9479,0.177986945045
21,0.949900000095,0.176128771249,0.9536,0.166909586728
22,0.953666666698,0.160967871237,0.9535,0.168514882153
23,0.956083333397,0.153639104533,0.9558,0.159016093642
24,0.959200000032,0.144238198034,0.9535,0.15812128396
25,0.96146666673,0.135817055209,0.9405,0.200569004726
26,0.962883333333,0.131004556882,0.9545,0.156270764735
27,0.964583333397,0.125877121997,0.9619,0.133069158283
28,0.96583333346,0.119854487785,0.9633,0.131094465721
29,0.96711666673,0.115207161363,0.9517,0.171451504469
30,0.968400000064,0.111669109547,0.9668,0.11888431021
31,0.969683333397,0.105905836852,0.9668,0.113828863919
32,0.97081666673,0.102041121133,0.9659,0.118233060151
33,0.971333333365,0.100376701367,0.9691,0.112678478616
34,0.972300000032,0.0964411042392,0.9664,0.114927016568
35,0.972633333397,0.0947627075016,0.9669,0.114827133292
36,0.97411666673,0.0903410734812,0.9647,0.117320684552
37,0.974816666698,0.0878682796836,0.9714,0.0990871853441
38,0.974816666698,0.0861238473932,0.9721,0.0992385206521
39,0.97581666673,0.0844847953866,0.9722,0.099487092644
40,0.976600000032,0.0810808424046,0.9714,0.0981994015157
