epoch,acc,loss,val_acc,val_loss
0,0.16285,2.29244050484,0.1841,2.28406894493
1,0.187766666683,2.27105248858,0.1875,2.25089739838
2,0.30136666673,1.99312483762,0.4685,1.48257513809
3,0.608433333365,1.11910029055,0.7244,0.811674496651
4,0.796950000064,0.632370619472,0.8474,0.470702438068
5,0.86161666673,0.451382563909,0.8226,0.515856669569
6,0.894200000032,0.35173969117,0.9189,0.272043201685
7,0.913150000064,0.293226250633,0.9308,0.235574817669
8,0.923116666698,0.258519052927,0.9431,0.193182868457
9,0.931416666698,0.233029951723,0.9402,0.199837812078
10,0.940750000127,0.198982705776,0.9409,0.195006436169
11,0.946766666698,0.1811048599,0.9519,0.161100119662
12,0.951483333333,0.167645369085,0.9504,0.169718291247
13,0.954900000064,0.155807695341,0.9591,0.14500368306
14,0.957366666794,0.146350724006,0.9622,0.131458739054
15,0.959200000095,0.139536466157,0.9534,0.159220943254
16,0.962200000032,0.128404553656,0.9628,0.126935050933
17,0.963650000064,0.124229378422,0.9529,0.155389764589
18,0.96421666673,0.12224993792,0.9551,0.161643291639
19,0.96418333346,0.122147903053,0.9629,0.12811360953
20,0.968033333397,0.109807142381,0.9679,0.121745528087
21,0.969383333397,0.106040444986,0.9647,0.119942436129
22,0.969633333397,0.103258025356,0.9695,0.102827820082
23,0.969216666667,0.105579720097,0.9694,0.107158344701
24,0.971883333397,0.0946974186202,0.9664,0.115440242433
25,0.97196666673,0.0930276327888,0.9672,0.10765352433
26,0.974616666667,0.0872596681019,0.9635,0.121712836191
27,0.975533333333,0.0857216507296,0.973,0.0970702471852
28,0.975466666667,0.0839205529352,0.9682,0.110497991732
29,0.975266666794,0.0838426527619,0.9744,0.0922958365515
30,0.977016666794,0.0786954342316,0.9723,0.0995974041969
31,0.97368333346,0.0889881833394,0.9751,0.0904060898073
32,0.97771666673,0.0759310663303,0.9756,0.0855833457083
33,0.972666666667,0.0961294777373,0.9747,0.0897235789925
34,0.9786,0.0732675637891,0.9739,0.0850768823154
35,0.978350000064,0.0734053665797,0.9747,0.088807781487
36,0.979933333397,0.0693315150112,0.9704,0.104889460412
37,0.979566666698,0.0695921962043,0.978,0.078693648522
38,0.980233333333,0.0661833834787,0.9777,0.0826156875066
39,0.980333333397,0.066777866148,0.9749,0.0891698797844
40,0.980383333429,0.0671923592389,0.9341,0.224136643636
41,0.981433333397,0.0642454167555,0.9751,0.0889680075884
42,0.982800000032,0.0597667578727,0.9735,0.091699623803
43,0.982416666667,0.0600765935004,0.9769,0.0813667200565
44,0.982750000032,0.0580416867753,0.9738,0.0974720148854
45,0.98278333346,0.058317466708,0.9738,0.0895367449
46,0.98281666673,0.0580452135324,0.9751,0.0869601653237
47,0.982933333365,0.0562102128496,0.9748,0.0891463139571
48,0.98375,0.0544730395714,0.9756,0.0875762001477
49,0.984266666698,0.054334122621,0.9756,0.0883430460077
50,0.984400000032,0.0516405319075,0.9756,0.0869231237136
51,0.984300000127,0.0527069438666,0.9714,0.103217876659
52,0.984433333333,0.0521260768116,0.978,0.0778663986772
53,0.984833333333,0.0527242073695,0.9772,0.0814854329273
54,0.9853,0.049827805983,0.9746,0.0939832847048
55,0.981550000064,0.0619872368882,0.9772,0.0869460067309
56,0.985533333333,0.0483024442926,0.9775,0.0808103254236
57,0.984783333333,0.0501095236023,0.9657,0.114219459178
58,0.986150000127,0.0462874284337,0.9794,0.0788440904461
59,0.986,0.0468455458313,0.9772,0.08716667086
60,0.986533333365,0.0460705497026,0.9766,0.0872021210004
61,0.986200000064,0.0456202163686,0.977,0.0820494335182
62,0.986366666698,0.044820739606,0.9758,0.0904639547983
63,0.9863,0.0445513719812,0.9793,0.0768188386027
64,0.98715,0.0434899960622,0.9766,0.0846354807228
65,0.987783333333,0.0419933973799,0.9744,0.0991312666954
66,0.986783333397,0.0431468058338,0.9759,0.0887317170959
67,0.988350000095,0.0389921549251,0.9743,0.0999384966101
68,0.98725,0.0427653609698,0.9759,0.0900936847756
69,0.988950000064,0.0379439001486,0.9751,0.0888407935614
70,0.98833333346,0.0391353184208,0.9789,0.0838517498257
71,0.98861666673,0.0409176370884,0.9765,0.0866105680056
72,0.988516666667,0.0386926536103,0.9773,0.0857428612528
73,0.988383333333,0.0391944849888,0.9784,0.0780986188438
74,0.989850000127,0.0342663665518,0.9783,0.0789247323321
75,0.989066666667,0.0381648124434,0.9772,0.0862531930882
76,0.989316666698,0.0350069223255,0.9743,0.0929957094904
77,0.9909,0.030154262312,0.9795,0.081125351603
78,0.987516666667,0.0433207967157,0.9767,0.0864473391742
79,0.98966666673,0.0344715879187,0.9782,0.0825538999762
80,0.989783333397,0.0345479071173,0.9751,0.0960494304448
81,0.98955,0.0337532027659,0.9757,0.0952442152888
82,0.989583333397,0.0351692191859,0.9806,0.074996630791
83,0.989566666698,0.0356943462978,0.9782,0.0820502651397
84,0.990400000064,0.0332110472019,0.9784,0.0851274025112
85,0.9898,0.0343049915989,0.9792,0.0798606919579
86,0.990333333333,0.031081149893,0.9783,0.0813879898898
87,0.991100000032,0.0287184410065,0.9787,0.0858143820226
88,0.991016666762,0.0313842762743,0.9783,0.0841221704228
89,0.9919,0.0279703824719,0.9784,0.0857485916577
90,0.991750000064,0.0283074429428,0.9773,0.0871864179922
91,0.99115,0.0306352607124,0.9781,0.0852570685199
92,0.991233333397,0.0286726574341,0.9778,0.085395262951
93,0.990683333333,0.0303317965268,0.9775,0.0834474782435
94,0.990716666667,0.0315692050442,0.9784,0.0820838641534
95,0.991133333397,0.0296140812432,0.9707,0.114493724963
96,0.992383333333,0.0261794308083,0.9758,0.0930669145784
97,0.990983333333,0.0284968840552,0.9792,0.0814081579631
98,0.992783333397,0.0256328507168,0.9782,0.0889231943361
99,0.989000000064,0.036010970365,0.9783,0.0890540350251
